titulo,vinculo,resumen 
b'Religion and mental health: Theory and research',b'http://www.baylorisr.org/wp-content/uploads/levin_religion_mental_health.pdf',"b'This article provides an overview of psychiatric and mental health research on religion. First, conceptual models of religion and of mental health used throughout this literature are described. Second, published empirical research in this field is summarized, including\xc2\xa0\xe2\x80\xa6'"
b'The mental health comorbidities of diabetes',b'https://www.ncbi.nlm.nih.gov/pmc/articles/pmc4439400/',"b'Individuals living with type 1 or type 2 diabetes are at increased risk for depression, anxiety, and eating disorder diagnoses. Mental health comorbidities of diabetes compromise adherence to treatment and thus increase the risk for serious short-and long-term\xc2\xa0\xe2\x80\xa6'"
b'Adaptational problems of Vietnamese refugees: I. Health and mental health status',b'https://jamanetwork.com/journals/jamapsychiatry/article-abstract/492172',"b""\xe2\x80\xa2 The forced migratory influx of Vietnamese to the United States has raised questions regarding the resettlement process, the effect of culture shock, the refugees' coping behavior and adaptabilities, and their health and mental health status. We report the two-year results\xc2\xa0\xe2\x80\xa6"""
"b""Trajectories of poverty and children's mental health""",b'https://www.jstor.org/stable/2137292',"b""Using data from three waves of the Children of the National Longitudinal Surveys of Youth data set (1986, 1988, 1990), we examine the dynamic relationship between children's family histories of poverty and their developmental trajectories of mental health. Children who were\xc2\xa0\xe2\x80\xa6"""
b'Who uses mental health services in Australia? An analysis of data from the National Survey of Mental Health and Wellbeing',b'http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.899.9840&rep=rep1&type=pdf',"b'Objective: This study sought to identify sociodemographic and psychological measures associated with utilisation of mental health services in Australia, using information collected through the 1997 National Survey of Mental Health and Wellbeing. Method: Twenty-one\xc2\xa0\xe2\x80\xa6'"
b'Work organization and mental health problems in PhD students',b'https://ciencias.ulisboa.pt/sites/default/files/fcul/investigacao/Work%20organization%20and%20mental%20health%20problems%20in%20PhD%20students.pdf',"b'Research policy observers are increasingly concerned about the potential impact of current academic working conditions on mental health, particularly in PhD students. The aim of the current study is threefold. First, we assess the prevalence of mental health problems in a\xc2\xa0\xe2\x80\xa6'"
b'Utilization of health and mental health services by Los Angeles Mexican Americans and non-Hispanic whites',b'https://jamanetwork.com/journals/jamapsychiatry/article-abstract/494099',"b'\xe2\x80\xa2 Utilization of general medical and mental health services by respondents in the Los Angeles Epidemiologic Catchment Area (ECA) site was compared with that in three ECA sites studied previously (New Haven, Conn, Baltimore, and St Louis). Within the Los\xc2\xa0\xe2\x80\xa6'"
b'Physical health of people with severe mental illness: can be improved if primary care and mental health professionals pay attention to it',b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1119672/',"b'Wnt/\xce\xb2-catenin signaling regulates many aspects of early vertebrate development, including patterning of the mesoderm and neurectoderm during gastrulation. In zebrafish, Wnt signaling overcomes basal repression in the prospective caudal neurectoderm by Tcf\xc2\xa0\xe2\x80\xa6'"
b'[HTML][HTML] Empirical evidence about recovery and mental health',b'https://link.springer.com/article/10.1186/s12888-015-0678-4',b'Two discourses exist in mental health research and practice. The first focuses on the limitations associated with disability arising from mental disorder. The second focuses on the possibilities for living well with mental health problems. This article was prompted by a\xc2\xa0\xe2\x80\xa6'
b'[LIBRO][B] Integrating mental health into primary care: a global perspective',b'https://apps.who.int/iris/bitstream/handle/10665/43935/9789241563680_eng.pdf?sequence=1&ua=1',"b'This report on integrating mental health into primary care, which was developed jointly by the World Health Organization (WHO) and the World Organization of Family Doctors (Wonca), presents the justification and advantages of providing mental health services in\xc2\xa0\xe2\x80\xa6'"
"b""The organizational context of children's mental health services""",b'http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.533.5348&rep=rep1&type=pdf',"b""This paper reviews what is known about the organizational context of children's mental health services and describes organizational constructs, conceptual models, research methods, and intervention strategies that can be used to link organizational context to\xc2\xa0\xe2\x80\xa6"""
b'[PDF][PDF] Is homelessness a mental health problem',b'http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.477.3953&rep=rep1&type=pdf',"b'Seventy-eight homeless men, women, and children staying at an emergency shelter were interviewed. The vast majority were found to have severe psychological illnesses that largely remained untreated. Approximately 91% were given primary psychiatric diagnoses: About\xc2\xa0\xe2\x80\xa6'"
b'The movement for global mental health',b'https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5C84C1EE7BBD0826514C1E7BEDE6D07E/S000712500025407Xa.pdf/movement_for_global_mental_health.pdf',"b'The Movement for Global Mental Health is a coalition of individuals and institutions committed to collective actions that aim to close the treatment gap for people living with mental disorders worldwide, based on two fundamental principles: evidence on effective\xc2\xa0\xe2\x80\xa6'"
b'Family status and mental health',b'https://link.springer.com/chapter/10.1007/0-387-36223-1_12',"b'Early epidemiological research on family status and mental health produced three \xe2\x80\x9csocial facts\xe2\x80\x9d: 1. Marriage is beneficial to mental health. 2. Marriage benefits the mental health of men more than women. 3. Parenthood causes psychological distress, especially for women\xc2\xa0\xe2\x80\xa6'"
b'Marital trajectories and mental health',b'https://www.jstor.org/stable/2676297',"b'This study expands the marital status and mental health literature by examining several dimensions of marital trajectories, including the number and type of prior marital losses and duration in current status. Data are drawn from the Piedmont Health Survey of the National\xc2\xa0\xe2\x80\xa6'"
b'Patterns of mental health service utilization',b'https://www.academia.edu/download/41211683/55cfacb208ae118c85c00bf6.pdf20160115-19908-leryif.pdf',"b'How many and which individuals, with which psychiatric disorders, receive (and do not receive) mental health services from which professionals in what settings? This question falls within the purview of mental health services research, which is a multidisciplinary field\xc2\xa0\xe2\x80\xa6'"
b'Income shocks and adolescent mental health',b'https://openknowledge.worldbank.org/bitstream/handle/10986/3407/WPS5644.pdf%3Bjsessionid%3D3F097DE2082295BCC65BC259FE0B5AC4?sequence%3D1',"b'We investigate the effects of a positive income shock on mental health among adolescent girls using evidence from a cash transfer experiment in Malawi. Offers of cash transfers strongly reduced psychological distress among baseline schoolgirls. However, these large\xc2\xa0\xe2\x80\xa6'"
"b'Adult neurogenesis, mental health, and mental illness: hope or hype?'",b'https://www.jneurosci.org/content/jneuro/28/46/11785.full.pdf',"b'Psychiatric and neurologic disorders take an enormous toll on society. Alleviating the devastating symptoms and consequences of neuropsychiatric disorders such as addiction, depression, epilepsy, and schizophrenia is a main force driving clinical and basic\xc2\xa0\xe2\x80\xa6'"
"b""Impact of mental health and caregiver burden on family caregivers' physical health""",b'https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7114152/',"b""Caregivers providing care to chronically ill family members at home are potentially at risk for caregiver burden and declining physical and psychological health. This study aims to understand how family caregivers' mental health and caregiver burden affects physical\xc2\xa0\xe2\x80\xa6"""
b'Launching a new movement for mental health',b'https://www.ghdonline.org/uploads/Lancet_series_on_GMH_-_Commentaries_384_KB.pdf',"b'Despite the great attention western countries pay to the mind and human consciousness in philosophy and the arts, disturbances of mental health remain not only neglected but also deeply stigmatised across our societies. Viewed through a global lens, this marginalisation\xc2\xa0\xe2\x80\xa6'"
b'[LIBRO][B] Life values and adolescent mental health',b'https://books.google.com/books?hl=es&lr=&id=c-MNNwGxraYC&oi=fnd&pg=PR1&dq=mental+health%0A&ots=n-HRD_DThC&sig=QEGwnZybJc83dz3co4eoQHy_XUs',"b""Arising from the Cohens' work on the epidemiology of childhood psychopathology, this book explores the two aspects of motivational structure--ideas and values--that underlie the development of maladaptive functioning and symptoms. The first aspect is a measure of\xc2\xa0\xe2\x80\xa6"""
"b""[HTML][HTML] Mental health aspects of women's reproductive health: a global review of the literature""",b'https://books.google.com/books?hl=es&lr=&id=6gF4bHe3dWoC&oi=fnd&pg=PP2&dq=mental+health%0A&ots=NvkiFHqosG&sig=mfV6c9UfRzbRLd5kwTJ6E3uqik8',"b""This Review is a unique document containing all available evidence regarding the relationship between women's mental health and selected aspects of their reproductive health. It includes a discussion of the biopsychosocial factors that create vulnerability to poor\xc2\xa0\xe2\x80\xa6"""
b'The mental health implications of detaining asylum seekers.',b'https://europepmc.org/article/med/11837855',"b""The possible mental health impact on asylum seekers of Australia's policy of mandatory detention is an issue of special relevance to health professionals and the public. Independent commissions of inquiry in Australia have found varying degrees of mental \xc2\xa0\xe2\x80\xa6"""
